,Acuracia,Arquitetura,F-N,F-P,Funcao_ativ,Taxa_aprend,V-N,V-P,F-Score
0,0.9881667413715822,"(15,)",21182,366,logistic,0.001,73,15559,0.5908555804503856
1,0.988077095472882,"(10, 18)",21195,353,logistic,0.001,89,15542,0.5905912752697978
2,0.9877185118780816,"(8,)",21185,363,logistic,0.003,93,15539,0.5905445977273592
3,0.9890632003585836,"(7,)",21238,309,tanh,0.001,96,15535,0.5904935667179809
4,0.9890632003585836,"(10, 18)",21242,306,logistic,0.003,99,15532,0.5904356420588459
5,0.9888839085611834,"(11,)",21238,309,logistic,0.001,103,15529,0.5904001520767987
6,0.9882563872702824,"(7,)",21218,329,logistic,0.003,106,15525,0.5903378519687436
7,0.9891528462572836,"(11,)",21255,293,logistic,0.003,109,15522,0.5902798904776392
8,0.9896907216494846,"(16,)",21278,269,logistic,0.001,113,15519,0.5902443662641438
9,0.9901389511429852,"(12,)",21298,249,logistic,0.001,116,15515,0.5901820187534473
