,Acuracia,Arquitetura,F-N,F-P,Funcao_ativ,Taxa_aprend,V-N,V-P,F-Score
0,0.9408598533270538,"(16,)",80753,2946,logistic,0.003,5843,59086,0.5853837351576006
1,0.9317768956469084,"(14, 5)",80030,3670,logistic,0.003,6470,58459,0.5827891814293832
2,0.9324945614389201,"(19,)",80873,2826,tanh,0.003,7206,57723,0.5797082527806372
3,0.9322254367669156,"(17,)",80946,2753,tanh,0.003,7320,57609,0.579226511560098
4,0.9309695216308956,"(17,)",81063,2636,tanh,0.003,7623,57306,0.5779407092899537
5,0.9281885666868509,"(11,)",80913,2786,logistic,0.003,7886,57043,0.5768182622544683
6,0.9285922536948574,"(19,)",81283,2416,tanh,0.003,8196,56733,0.5754875358202521
7,0.9229854896947678,"(17,)",80463,3236,logistic,0.003,8210,56720,0.5754315482984087
8,0.9229182085267666,"(18,)",80603,3096,tanh,0.003,8360,56569,0.5747801480412726
9,0.9268653703828298,"(11,)",81486,2213,logistic,0.003,8656,56273,0.5734974139468522
