,Camadas,FuncAtic,TaxaApren
0,"(7, 21)",logistc,0.001
1,"(7, 21)",logistc,0.003
2,"(7, 21)",tanh,0.001
3,"(7, 21)",tanh,0.003
4,"(8, 20)",logistc,0.001
5,"(8, 20)",logistc,0.003
6,"(8, 20)",tanh,0.001
7,"(8, 20)",tanh,0.003
8,"(9, 19)",logistc,0.001
9,"(9, 19)",logistc,0.003
10,"(9, 19)",tanh,0.001
11,"(9, 19)",tanh,0.003
12,"(10, 18)",logistc,0.001
13,"(10, 18)",logistc,0.003
14,"(10, 18)",tanh,0.001
15,"(10, 18)",tanh,0.003
16,"(11, 17)",logistc,0.001
17,"(11, 17)",logistc,0.003
18,"(11, 17)",tanh,0.001
19,"(11, 17)",tanh,0.003
20,"(12, 16)",logistc,0.001
21,"(12, 16)",logistc,0.003
22,"(12, 16)",tanh,0.001
23,"(12, 16)",tanh,0.003
24,"(13, 15)",logistc,0.001
25,"(13, 15)",logistc,0.003
26,"(13, 15)",tanh,0.001
27,"(13, 15)",tanh,0.003
28,"(14, 14)",logistc,0.001
29,"(14, 14)",logistc,0.003
30,"(14, 14)",tanh,0.001
31,"(14, 14)",tanh,0.003
32,"(15, 13)",logistc,0.001
33,"(15, 13)",logistc,0.003
34,"(15, 13)",tanh,0.001
35,"(15, 13)",tanh,0.003
36,"(16, 12)",logistc,0.001
37,"(16, 12)",logistc,0.003
38,"(16, 12)",tanh,0.001
39,"(16, 12)",tanh,0.003
40,"(17, 11)",logistc,0.001
41,"(17, 11)",logistc,0.003
42,"(17, 11)",tanh,0.001
43,"(17, 11)",tanh,0.003
44,"(18, 10)",logistc,0.001
45,"(18, 10)",logistc,0.003
46,"(18, 10)",tanh,0.001
47,"(18, 10)",tanh,0.003
48,"(19, 9)",logistc,0.001
49,"(19, 9)",logistc,0.003
50,"(19, 9)",tanh,0.001
51,"(19, 9)",tanh,0.003
52,"(20, 8)",logistc,0.001
53,"(20, 8)",logistc,0.003
54,"(20, 8)",tanh,0.001
55,"(20, 8)",tanh,0.003
56,"(21, 7)",logistc,0.001
57,"(21, 7)",logistc,0.003
58,"(21, 7)",tanh,0.001
59,"(21, 7)",tanh,0.003
60,"(7,)",logistc,0.001
61,"(7,)",logistc,0.003
62,"(7,)",tanh,0.001
63,"(7,)",tanh,0.003
64,"(8,)",logistc,0.001
65,"(8,)",logistc,0.003
66,"(8,)",tanh,0.001
67,"(8,)",tanh,0.003
68,"(9,)",logistc,0.001
69,"(9,)",logistc,0.003
70,"(9,)",tanh,0.001
71,"(9,)",tanh,0.003
72,"(10,)",logistc,0.001
73,"(10,)",logistc,0.003
74,"(10,)",tanh,0.001
75,"(10,)",tanh,0.003
76,"(11,)",logistc,0.001
77,"(11,)",logistc,0.003
78,"(11,)",tanh,0.001
79,"(11,)",tanh,0.003
80,"(12,)",logistc,0.001
81,"(12,)",logistc,0.003
82,"(12,)",tanh,0.001
83,"(12,)",tanh,0.003
84,"(13,)",logistc,0.001
85,"(13,)",logistc,0.003
86,"(13,)",tanh,0.001
87,"(13,)",tanh,0.003
88,"(14,)",logistc,0.001
89,"(14,)",logistc,0.003
90,"(14,)",tanh,0.001
91,"(14,)",tanh,0.003
92,"(15,)",logistc,0.001
93,"(15,)",logistc,0.003
94,"(15,)",tanh,0.001
95,"(15,)",tanh,0.003
96,"(16,)",logistc,0.001
97,"(16,)",logistc,0.003
98,"(16,)",tanh,0.001
99,"(16,)",tanh,0.003
100,"(17,)",logistc,0.001
101,"(17,)",logistc,0.003
102,"(17,)",tanh,0.001
103,"(17,)",tanh,0.003
104,"(18,)",logistc,0.001
105,"(18,)",logistc,0.003
106,"(18,)",tanh,0.001
107,"(18,)",tanh,0.003
108,"(19,)",logistc,0.001
109,"(19,)",logistc,0.003
110,"(19,)",tanh,0.001
111,"(19,)",tanh,0.003
112,"(20,)",logistc,0.001
113,"(20,)",logistc,0.003
114,"(20,)",tanh,0.001
115,"(20,)",tanh,0.003
116,"(21,)",logistc,0.001
117,"(21,)",logistc,0.003
118,"(21,)",tanh,0.001
119,"(21,)",tanh,0.003
120,"(22,)",logistc,0.001
121,"(22,)",logistc,0.003
122,"(22,)",tanh,0.001
123,"(22,)",tanh,0.003
124,"(23,)",logistc,0.001
125,"(23,)",logistc,0.003
126,"(23,)",tanh,0.001
127,"(23,)",tanh,0.003
128,"(24,)",logistc,0.001
129,"(24,)",logistc,0.003
130,"(24,)",tanh,0.001
131,"(24,)",tanh,0.003
132,"(25,)",logistc,0.001
133,"(25,)",logistc,0.003
134,"(25,)",tanh,0.001
135,"(25,)",tanh,0.003
136,"(26,)",logistc,0.001
137,"(26,)",logistc,0.003
138,"(26,)",tanh,0.001
139,"(26,)",tanh,0.003
140,"(27,)",logistc,0.001
141,"(27,)",logistc,0.003
142,"(27,)",tanh,0.001
143,"(27,)",tanh,0.003
144,"(28,)",logistc,0.001
145,"(28,)",logistc,0.003
146,"(28,)",tanh,0.001
147,"(28,)",tanh,0.003
