,Camadas,FuncAtic,TaxaApren
0,"(4, 15)",logistc,0.001
1,"(4, 15)",logistc,0.003
2,"(4, 15)",tanh,0.001
3,"(4, 15)",tanh,0.003
4,"(5, 14)",logistc,0.001
5,"(5, 14)",logistc,0.003
6,"(5, 14)",tanh,0.001
7,"(5, 14)",tanh,0.003
8,"(6, 13)",logistc,0.001
9,"(6, 13)",logistc,0.003
10,"(6, 13)",tanh,0.001
11,"(6, 13)",tanh,0.003
12,"(7, 12)",logistc,0.001
13,"(7, 12)",logistc,0.003
14,"(7, 12)",tanh,0.001
15,"(7, 12)",tanh,0.003
16,"(8, 11)",logistc,0.001
17,"(8, 11)",logistc,0.003
18,"(8, 11)",tanh,0.001
19,"(8, 11)",tanh,0.003
20,"(9, 10)",logistc,0.001
21,"(9, 10)",logistc,0.003
22,"(9, 10)",tanh,0.001
23,"(9, 10)",tanh,0.003
24,"(10, 9)",logistc,0.001
25,"(10, 9)",logistc,0.003
26,"(10, 9)",tanh,0.001
27,"(10, 9)",tanh,0.003
28,"(11, 8)",logistc,0.001
29,"(11, 8)",logistc,0.003
30,"(11, 8)",tanh,0.001
31,"(11, 8)",tanh,0.003
32,"(12, 7)",logistc,0.001
33,"(12, 7)",logistc,0.003
34,"(12, 7)",tanh,0.001
35,"(12, 7)",tanh,0.003
36,"(13, 6)",logistc,0.001
37,"(13, 6)",logistc,0.003
38,"(13, 6)",tanh,0.001
39,"(13, 6)",tanh,0.003
40,"(14, 5)",logistc,0.001
41,"(14, 5)",logistc,0.003
42,"(14, 5)",tanh,0.001
43,"(14, 5)",tanh,0.003
44,"(15, 4)",logistc,0.001
45,"(15, 4)",logistc,0.003
46,"(15, 4)",tanh,0.001
47,"(15, 4)",tanh,0.003
48,"(4,)",logistc,0.001
49,"(4,)",logistc,0.003
50,"(4,)",tanh,0.001
51,"(4,)",tanh,0.003
52,"(5,)",logistc,0.001
53,"(5,)",logistc,0.003
54,"(5,)",tanh,0.001
55,"(5,)",tanh,0.003
56,"(6,)",logistc,0.001
57,"(6,)",logistc,0.003
58,"(6,)",tanh,0.001
59,"(6,)",tanh,0.003
60,"(7,)",logistc,0.001
61,"(7,)",logistc,0.003
62,"(7,)",tanh,0.001
63,"(7,)",tanh,0.003
64,"(8,)",logistc,0.001
65,"(8,)",logistc,0.003
66,"(8,)",tanh,0.001
67,"(8,)",tanh,0.003
68,"(9,)",logistc,0.001
69,"(9,)",logistc,0.003
70,"(9,)",tanh,0.001
71,"(9,)",tanh,0.003
72,"(10,)",logistc,0.001
73,"(10,)",logistc,0.003
74,"(10,)",tanh,0.001
75,"(10,)",tanh,0.003
76,"(11,)",logistc,0.001
77,"(11,)",logistc,0.003
78,"(11,)",tanh,0.001
79,"(11,)",tanh,0.003
80,"(12,)",logistc,0.001
81,"(12,)",logistc,0.003
82,"(12,)",tanh,0.001
83,"(12,)",tanh,0.003
84,"(13,)",logistc,0.001
85,"(13,)",logistc,0.003
86,"(13,)",tanh,0.001
87,"(13,)",tanh,0.003
88,"(14,)",logistc,0.001
89,"(14,)",logistc,0.003
90,"(14,)",tanh,0.001
91,"(14,)",tanh,0.003
92,"(15,)",logistc,0.001
93,"(15,)",logistc,0.003
94,"(15,)",tanh,0.001
95,"(15,)",tanh,0.003
96,"(16,)",logistc,0.001
97,"(16,)",logistc,0.003
98,"(16,)",tanh,0.001
99,"(16,)",tanh,0.003
100,"(17,)",logistc,0.001
101,"(17,)",logistc,0.003
102,"(17,)",tanh,0.001
103,"(17,)",tanh,0.003
104,"(18,)",logistc,0.001
105,"(18,)",logistc,0.003
106,"(18,)",tanh,0.001
107,"(18,)",tanh,0.003
108,"(19,)",logistc,0.001
109,"(19,)",logistc,0.003
110,"(19,)",tanh,0.001
111,"(19,)",tanh,0.003
